Pos.,Game Name,Misinfo Label,Mechanics Label,Teaching Label,GM-TO Relationship,Theory Label,Narrative Label,Story Strength,Player Label,General Topic Label,Platform Label,Game Type Label,Content Type Label
13,Fake It to Make It,"imaginative, mis","Content Creation, Social (media) simulation, scoring/feedback loops","Strategy awareness, Socio-emotional, system/power","Direct, Contradictive","Inoculation/prebunking, Procedual",social media,Weak,Bad,Information Literacy / Misinformation,Video Game,Choice-based Simulation,News Articles
14,Fake News Travel Fast,imaginative,"Headline, scoring/feedback loops",Detection,Direct,"Inoculation/prebunking, Veracity discernment, Procedual","fact-checker, other",Weak,Good,Information Literacy / Misinformation,Video Game,Choice-based Simulation,Other
15,The Fake News Game (which then turned into Bad News),"real, imaginative","Content Creation, Competitive",Strategy awareness,"Direct, Contradictive","Inoculation/prebunking, Declerative, Procedual",newsroom/feed,Medium,"Opponent, Bad","Manipulation Strategies, Information Literacy / Misinformation",Card Game,Card Game,News Articles
16,Bad News Game (GoViral! Vorgänger),"imaginative, self-created","Content Creation, Social (media) simulation, Story Decision",Strategy awareness,"Direct, Contradictive","Inoculation/prebunking, Declerative, Procedual",social media,Medium,Bad,"Information Literacy / Misinformation, Manipulation Strategies, ""Trolls, Satire, Humor, Ads""",Video Game,Choice-based Simulation,"News Articles, Social Media"
17,MAthE,real,"Evaluation, scoring/feedback loops","Detection, Normative behavior, Procedual literacy",Direct,"Corroboration, Pro. strategy use, Const./Situated learning",none,No story,Good,Information Literacy / Misinformation,Video Game,Other,News Articles
18,Trustme!,"imaginative, dis","Social (media) simulation, Evaluation, Narrative Framing, scoring/feedback loops","Detection, Procedual literacy, Normative behavior",Direct,"Declerative, Pro. strategy use",social media,Weak,Good,Information Literacy / Misinformation,Video Game,"Choice-based Simulation, Trivia",Social Media
19,"Social Media Puppeteers (Tabletop Roleplay Game)

","imaginative, self-created","Sharing decision, Social (media) simulation, Content Creation, Narrative Framing, Competitive, Cooperative, role play","Strategy awareness, Socio-emotional, other, system/power","Direct, Contradictive","Inoculation/prebunking, Procedual, Const./Situated learning",social media,Medium,"Opponent, Strategic",Social Media,Tabletop Roleplay Game,"RPG, Board Game",Social Media
20,Data Defenders,imaginative,"Headline, other",Detection,"Direct, Absent","Bias recognition, Veracity discernment","fact-checker, dystopia",Weak,Good,Information Literacy / Misinformation,Video Game,Tower Defense,"Social Media, Other"
21,Social Media Fake News,"imaginative, self-created","Content Creation, other","Strategy awareness, Socio-emotional","Direct, Contradictive","Inoculation/prebunking, Procedual",newsroom/feed,Medium,"Opponent, Good + Bad","Manipulation Strategies, Information Literacy / Misinformation, Social Media",Card Game,Card Game,News Articles
22,Hacking the research library,real,"Cooperative, Evaluation",Procedual literacy,Direct,"Corroboration, Source evaluation, Pro. strategy use","other, fact-checker",Medium,"Good, Embedded",Information Literacy / Misinformation,Escape Room,Other,"News Articles, Social Media, Other"
23,Cranky Uncle,"imaginative, dis, mis","Evaluation, Narrative Framing, scoring/feedback loops",Strategy awareness,"Direct, Contradictive","Inoculation/prebunking, Bias recognition, Declerative, Procedual","real-life impact, other",Strong,"Strategic, Good",Information Literacy / Misinformation,Video Game,Decision Tree,No specific Media Context
24,Harmony Square,"imaginative, dis","Content Creation, Story Decision, Social (media) simulation, scoring/feedback loops",Strategy awareness,"Direct, Contradictive","Inoculation/prebunking, Procedual","dystopia, newsroom/feed",Medium,Bad,"Information Literacy / Misinformation, Manipulation Strategies, ""Trolls, Satire, Humor, Ads"", Social Media, Bots",Video Game,Choice-based Simulation,"News Articles, Social Media"
25,Escape Fake,"imaginative, deep fakes","Evaluation, Narrative Framing, other, Quiz/Trivia","Strategy awareness, Detection, Procedual literacy, Socio-emotional, other","Direct, Indirect","Corroboration, Veracity discernment, Source evaluation, Pro. strategy use, Declerative, Procedual","dystopia, game abstraction, real-life impact",Medium,Good,"Bots, Information Literacy / Misinformation, Social Media",AR Game,Other,"News Articles, Social Media, ""Multimodal (e.g. Video, Image, Audio)"""
26,SWR FakeFinder Kids,"imaginative, other",Quiz/Trivia,Detection,Direct,"Declerative, Procedual",none,No story,Detached,"Information Literacy / Misinformation, ""Trolls, Satire, Humor, Ads""",Video Game,Trivia,"""Multimodal (e.g. Video, Image, Audio)"", Other, Social Media"
27,SchlaWiener,"imaginative, mis","Content Creation, scoring/feedback loops, Story Decision","Strategy awareness, Detection","Direct, Contradictive","Inoculation/prebunking, Procedual","detective, other",Medium,Strategic,"Information Literacy / Misinformation, Conspiracy Theories, Manipulation Strategies",Video Game,"Decision Tree, Choice-based Simulation","Social Media, News Articles"
28,Headliner: Novinews,"imaginative, dis, propaganda","Sharing decision, Social (media) simulation, Story Decision, Narrative Framing, other","Strategy awareness, Socio-emotional, system/power","Indirect, Direct","Inoculation/prebunking, Bias recognition, Procedual, Const./Situated learning","newsroom/feed, real-life impact, game abstraction",Strong,"Embedded, Strategic","Information Literacy / Misinformation, Propaganda",Video Game,Simulation,News Articles
29,Not for Broadcast,"imaginative, propaganda","Sharing decision, Social (media) simulation, Story Decision, Narrative Framing","Strategy awareness, Socio-emotional, system/power","Direct, Indirect","Inoculation/prebunking, Bias recognition, Procedual, Const./Situated learning","newsroom/feed, dystopia, game abstraction",Strong,"Embedded, Strategic",Propaganda,Video Game,Simulation,News Articles
30,Spot The Troll,"real, dis, other","Evaluation, Headline, scoring/feedback loops","Detection, Strategy awareness",Direct,"Inoculation/prebunking, Heuristic vs analytical , Declerative",social media,No story,Detached,"Bots, Desinformation, Information Literacy / Misinformation, Social Media",Video Game,Trivia,Social Media
31,CatPark Game,"mis, imaginative, self-created","Content Creation, Social (media) simulation, Narrative Framing","Strategy awareness, Socio-emotional, Normative behavior, system/power","Direct, Contradictive","Inoculation/prebunking, Metacognitive, Procedual","social media, real-life impact",Strong,Accidentally Bad,"Information Literacy / Misinformation, Conspiracy Theories, Social Media, Manipulation Strategies",Video Game,Decision Tree,"News Articles, Social Media"
32,Facts & Fantasy,"real, imaginative, dis, conspiracy","Headline, Competitive, other",Detection,Direct,"Inoculation/prebunking, Veracity discernment",none,No story,"Opponent, Good + Bad","Information Literacy / Misinformation, Conspiracy Theories, Desinformation",Card Game,Card Game,Other
33,Actionbound: In the bunker of lies,"imaginative, conspiracy","Narrative Framing, Evaluation","Strategy awareness, Detection",Direct,"Inoculation/prebunking, Pro. strategy use",other,Strong,Good,"Social Media, Conspiracy Theories, Information Literacy / Misinformation, Manipulation Strategies",Video Game,"Choice-based Simulation, Trivia","News Articles, Social Media"
34,Wiebkes Wirre Welt,"imaginative, conspiracy","Narrative Framing, Story Decision, other","Strategy awareness, Socio-emotional",Direct,"Inoculation/prebunking, Procedual, Const./Situated learning","real-life impact, other",Strong,Bad,"Information Literacy / Misinformation, Conspiracy Theories, Manipulation Strategies, Social Media",Video Game,"Point and Click, Decision Tree","Social Media, News Articles, ""Multimodal (e.g. Video, Image, Audio)"""
35,Facts & Fakes,imaginative,"Evaluation, Headline","Detection, Procedual literacy",Direct,"Procedual, Corroboration, Inoculation/prebunking",social media,Weak/medium,Good,Information Literacy / Misinformation,Video Game,Choice-based Simulation,"""Multimodal (e.g. Video, Image, Audio)"", Social Media, News Articles"
36,We Become What We Behold,none,"Social (media) simulation, Sharing decision","Socio-emotional, system/power",Contradictive,"Procedual, other, Const./Situated learning","real-life impact, newsroom/feed, game abstraction, other",Medium,Accidentally Bad,Polarisation,Video Game,"Other, Point and Click",No specific Media Context
37,Digital Matters: Once Upon Online,imaginative,"Story Decision, Sharing decision","Detection, Procedual literacy",Direct,"Corroboration, Inoculation/prebunking, Procedual",social media,Weak,"Good, Detached",Information Literacy / Misinformation,Video Game,Decision Tree,News Articles
38,The Republica Times,imaginative,"Social (media) simulation, Sharing decision","Strategy awareness, Socio-emotional",Indirect,"Inoculation/prebunking, Procedual, Const./Situated learning","newsroom/feed, dystopia",Strong,"Embedded, Strategic","Polarisation, Propaganda",Video Game,Simulation,News Articles
39,Post Facto ,real,"Evaluation, scoring/feedback loops","Procedual literacy, Detection",Direct,"Heuristic vs analytical , Pro. strategy use, Declerative",other,No story,Detached,Information Literacy / Misinformation,Video Game,"Choice-based Simulation, Trivia",News Articles
40,The Westport Independent,imaginative,"Content Creation, Sharing decision, Social (media) simulation","system/power, other","Direct, Contradictive","Procedual, Metacognitive, Narrative, Const./Situated learning","dystopia, newsroom/feed",Strong,"Strategic, Embedded","Propaganda, Information Literacy / Misinformation",Video Game,Simulation,News Articles
41,NewsFeed Defenders,imaginative,"Evaluation, Social (media) simulation, Narrative Framing, Story Decision","Detection, Procedual literacy",Direct,"Pro. strategy use, Declerative, Procedual",social media,No story,Embedded,Information Literacy / Misinformation,Video Game,Simulation,Social Media
42,"Fake-News-App: ""Vorsicht - Giftstoffe im Handy!""","imaginative, mis","Evaluation, Narrative Framing, Story Decision","Procedual literacy, Detection, Strategy awareness",Direct,"Const./Situated learning, Narrative, Procedual",other,Medium,Embedded,Information Literacy / Misinformation,Video Game,"Choice-based Simulation, Trivia","""Multimodal (e.g. Video, Image, Audio)"", Social Media, News Articles"
43,Ezra & Alex,"imaginative, mis","Narrative Framing, other, Story Decision, Evaluation","Detection, Socio-emotional, Normative behavior",Direct,"Const./Situated learning, Narrative, Declerative",other,Strong,Good,Information Literacy / Misinformation,Video Game,Point and Click,"""Multimodal (e.g. Video, Image, Audio)"""
44,Escape Game,"real, mis","Evaluation, Narrative Framing, scoring/feedback loops","Detection, Procedual literacy",Direct,"Declerative, Procedual",social media,Medium,Good,Information Literacy / Misinformation,Video Game,"Other, Trivia","""Multimodal (e.g. Video, Image, Audio)"", News Articles"
45,"Real, LOLZ, oops or fake","real, mis, other","Evaluation, Headline, scoring/feedback loops","Detection, Procedual literacy",Direct,"Declerative, Procedual",none,No story,Detached,Information Literacy / Misinformation,Video Game,Trivia,"News Articles, ""Multimodal (e.g. Video, Image, Audio)"""
46,Doubt is our Product,"dis, real, imaginative","Social (media) simulation, Competitive, role play","Strategy awareness, system/power","Direct, Contradictive","Procedual, Narrative","real-life impact, game abstraction",Strong,"Opponent, Either Good/Bad",Information Literacy / Misinformation,Board Game,Board Game,Other
47,Fake Hunter ,"imaginative, other, dis, mis","Evaluation, Cooperative","Strategy awareness, Procedual literacy, system/power",Direct,"Source evaluation, Pro. strategy use, Declerative, Procedual",detective,Medium,"Good, Embedded",Information Literacy / Misinformation,Video Game,Simulation,News Articles
48,Fight Fakes,"real, deep fakes","Quiz/Trivia, scoring/feedback loops, Competitive",Detection,Direct,Veracity discernment,social media,No story,"Detached, Opponent",Information Literacy / Misinformation,Classroom Game,Classroom,News Articles
49,Exit the Fake,"imaginative, deep fakes","Narrative Framing, Evaluation, Quiz/Trivia","Detection, Strategy awareness, Procedual literacy, Normative behavior",Direct,"Pro. strategy use, Inoculation/prebunking, Procedual",social media,Medium,"Good, Embedded",Information Literacy / Misinformation,"Classroom Game, Escape Room",Other,"""Multimodal (e.g. Video, Image, Audio)"", Social Media"
50,Schnitzeljagd: Fake News,none,Quiz/Trivia,"Detection, Procedual literacy",Indirect,Pro. strategy use,none,No story,Detached,Information Literacy / Misinformation,"Classroom Game, Video Game","Other, Trivia","News Articles, Social Media"
51,Fake-O-Mat,"imaginative, self-created","Headline, Social (media) simulation, role play","Detection, system/power",Direct,"Veracity discernment, Procedual","real-life impact, game abstraction",Medium,Embedded,"Information Literacy / Misinformation, Desinformation, Polarisation","Classroom Game, Tabletop Roleplay Game",RPG,News Articles
52,Choose your own fake news,"imaginative, other","Evaluation, Sharing decision, Story Decision","Detection, Procedual literacy, Normative behavior","Indirect, Direct","Corroboration, Source evaluation, Metacognitive","real-life impact, game abstraction",Weak/medium,Embedded,"Information Literacy / Misinformation, ""Trolls, Satire, Humor, Ads""",Video Game,Decision Tree,"Social Media, Other"
53,Influence Inc.,imaginative,"Sharing decision, Social (media) simulation, Content Creation, Narrative Framing, Progression, other","Strategy awareness, system/power, Socio-emotional","Indirect, Direct, Contradictive","Procedual, Inoculation/prebunking, Const./Situated learning","newsroom/feed, social media, game abstraction",Strong,"Bad, Strategic","Information Literacy / Misinformation, Desinformation, Social Media",Video Game,Simulation,Social Media
54,No Place for the Dissident,imaginative,"Social (media) simulation, Content Creation, other","Strategy awareness, system/power","Indirect, Direct",Procedual,"dystopia, other",Medium,"Bad, Strategic","Polarisation, Propaganda, Desinformation, Manipulation Strategies",Video Game,Simulation,Other
